,temperature,counts,temperature_ratio
0,-15.0,1.0,3.0
1,-14.0,2.0,1.0
2,-13.0,1.0,3.0
3,-12.0,3.0,1.6666666666666667
4,-11.0,4.0,2.0
5,-10.0,13.0,1.5384615384615385
6,-9.0,5.0,2.4
7,-8.0,21.0,1.4285714285714286
8,-7.0,12.0,2.9166666666666665
9,-6.0,15.0,3.1333333333333333
10,-5.0,17.0,4.823529411764706
11,-4.0,13.0,5.615384615384615
12,-3.0,24.0,4.583333333333333
13,-2.0,21.0,5.523809523809524
14,-1.0,19.0,6.421052631578948
15,0.0,21.0,12.380952380952381
16,1.0,22.0,8.0
17,2.0,27.0,8.74074074074074
18,3.0,15.0,18.2
19,4.0,21.0,12.666666666666666
20,5.0,22.0,20.136363636363637
21,6.0,23.0,12.217391304347826
22,7.0,26.0,10.807692307692308
23,8.0,22.0,14.045454545454545
24,9.0,23.0,10.391304347826088
25,10.0,30.0,22.733333333333334
26,11.0,28.0,10.071428571428571
27,12.0,23.0,15.782608695652174
28,13.0,31.0,11.129032258064516
29,14.0,27.0,12.481481481481481
30,15.0,33.0,20.757575757575758
31,16.0,35.0,10.485714285714286
32,17.0,25.0,14.36
33,18.0,35.0,14.028571428571428
34,19.0,22.0,14.454545454545455
35,20.0,39.0,22.17948717948718
36,21.0,30.0,12.533333333333333
37,22.0,38.0,12.421052631578947
38,23.0,35.0,14.17142857142857
39,24.0,36.0,15.555555555555555
40,25.0,47.0,16.659574468085108
41,26.0,43.0,13.093023255813954
42,27.0,33.0,14.393939393939394
43,28.0,32.0,18.0
44,29.0,22.0,14.909090909090908
45,30.0,24.0,22.5
46,31.0,10.0,15.1
47,32.0,9.0,20.88888888888889
48,33.0,10.0,12.3
49,34.0,4.0,15.0
50,35.0,1.0,42.0
51,36.0,1.0,22.0
52,37.0,1.0,4.0
53,38.0,1.0,1.0
54,39.0,1.0,2.0
55,40.0,1.0,1.0
